Course Code,Enrollment Number
ELL787,2022EL10413
ELL787,2022EL10414
ELL787,2022EL10415
ELL787,2022EL10416
ELL787,2022EL10417
ELL787,2022EL10418
ELL787,2022EL10419
ELL787,2022EL10420
ELL787,2022EL10421
ELL787,2022EL10422
ELL787,2022EL10423
ELL787,2022EL10424
ELL787,2022EL10425
ELL787,2022EL10426
ELL787,2022EL10427
ELL787,2022EL10428
ELL787,2022EL10429
ELL787,2022EL10430
ELL787,2022EL10431
ELL787,2022EL10432
ELL787,2022EL10433
ELL787,2022EL10434
ELL787,2022EL10435
ELL787,2022EL10436
ELL787,2022EL10437
