Course Code,Enrollment Number
ELL890,2022EL10038
ELL890,2022EL10039
ELL890,2022EL10040
ELL890,2022EL10041
ELL890,2022EL10042
ELL890,2022EL10043
ELL890,2022EL10044
ELL890,2022EL10045
ELL890,2022EL10046
ELL890,2022EL10047
ELL890,2022EL10048
ELL890,2022EL10049
ELL890,2022EL10050
ELL890,2022EL10051
ELL890,2022EL10052
ELL890,2022EL10053
ELL890,2022EL10054
ELL890,2022EL10055
ELL890,2022EL10056
ELL890,2022EL10057
ELL890,2022EL10058
ELL890,2022EL10059
ELL890,2022EL10060
ELL890,2022EL10061
ELL890,2022EL10062
ELL890,2022EL10063
ELL890,2022EL10064
ELL890,2022EL10065
ELL890,2022EL10066
ELL890,2022EL10067
ELL764,2022EL10068
ELL764,2022EL10069
ELL764,2022EL10070
ELL764,2022EL10071
ELL764,2022EL10072
ELL764,2022EL10073
ELL764,2022EL10074
ELL764,2022EL10075
ELL764,2022EL10076
ELL764,2022EL10077
ELL764,2022EL10078
ELL764,2022EL10079
ELL764,2022EL10080
ELL764,2022EL10081
ELL764,2022EL10082
ELL764,2022EL10083
ELL764,2022EL10084
