Course Code,Enrollment Number
CML721,2022CM10271
CML721,2022CM10272
CML721,2022CM10273
CML721,2022CM10274
CML721,2022CM10275
CML721,2022CM10276
CML721,2022CM10277
CML721,2022CM10278
CML721,2022CM10279
CML721,2022CM10280
CML721,2022CM10281
CML721,2022CM10282
CML721,2022CM10283
CML721,2022CM10284
CML721,2022CM10285
CML721,2022CM10286
CML721,2022CM10287
CML721,2022CM10288
CML721,2022CM10289
CML721,2022CM10290
CML721,2022CM10291
CML721,2022CM10292
CVL732,2022CV10293
CVL732,2022CV10294
CVL732,2022CV10295
CVL732,2022CV10296
CVL732,2022CV10297
CVL732,2022CV10298
CVL732,2022CV10299
CVL732,2022CV10300
CVL732,2022CV10301
CVL732,2022CV10302
CVL732,2022CV10303
CVL732,2022CV10304
CVL732,2022CV10305
CVL732,2022CV10306
CVL732,2022CV10307
CVL732,2022CV10308
CVL732,2022CV10309
CVL732,2022CV10310
CVL732,2022CV10311
ELL805,2022EL10312
ELL805,2022EL10313
ELL805,2022EL10314
ELL805,2022EL10315
ELL805,2022EL10316
ELL805,2022EL10317
ELL805,2022EL10318
ELL805,2022EL10319
ELL805,2022EL10320
ELL805,2022EL10321
