Course Code,Enrollment Number
HUL358,2022HU10482
HUL358,2022HU10483
HUL358,2022HU10484
HUL358,2022HU10485
HUL358,2022HU10486
HUL358,2022HU10487
HUL358,2022HU10488
HUL358,2022HU10489
HUL358,2022HU10490
HUL358,2022HU10491
HUL358,2022HU10492
HUL358,2022HU10493
HUL358,2022HU10494
HUL358,2022HU10495
HUL358,2022HU10496
HUL358,2022HU10497
HUL358,2022HU10498
HUL358,2022HU10499
HUL358,2022HU10500
HUL358,2022HU10501
HUL358,2022HU10502
HUL358,2022HU10503
HUL358,2022HU10504
HUL358,2022HU10505
HUL358,2022HU10506
HUL358,2022HU10507
HUL358,2022HU10508
HUL358,2022HU10509
HUL358,2022HU10510
HUL358,2022HU10511
HUL358,2022HU10512
HUL358,2022HU10513
HUL358,2022HU10514
HUL358,2022HU10515
HUL358,2022HU10516
HUL358,2022HU10517
HUL358,2022HU10518
HUL358,2022HU10519
HUL358,2022HU10520
HUL358,2022HU10521
