Course Code,Enrollment Number
COL100,2022CO37186
COL100,2022CO37187
COL100,2022CO37188
COL100,2022CO37189
COL100,2022CO37190
COL100,2022CO37191
COL100,2022CO37192
COL100,2022CO37193
COL100,2022CO37194
COL100,2022CO37195
COL100,2022CO37196
COL100,2022CO37197
COL100,2022CO37198
COL100,2022CO37199
COL100,2022CO37200
COL100,2022CO37201
COL100,2022CO37202
COL100,2022CO37203
COL100,2022CO37204
COL100,2022CO37205
COL100,2022CO37206
COL100,2022CO37207
COL100,2022CO37208
COL100,2022CO37209
COL100,2022CO37210
COL100,2022CO37211
COL100,2022CO37212
COL100,2022CO37213
COL100,2022CO37214
COL100,2022CO37215
COL100,2022CO37216
COL100,2022CO37217
COL100,2022CO37218
COL100,2022CO37219
COL100,2022CO37220
COL100,2022CO37221
COL100,2022CO37222
COL100,2022CO37223
COL100,2022CO37224
COL100,2022CO37225
COL100,2022CO37226
COL100,2022CO37227
COL100,2022CO37228
COL100,2022CO37229
COL100,2022CO37230
COL100,2022CO37231
COL100,2022CO37232
COL100,2022CO37233
COL100,2022CO37234
COL100,2022CO37235
COL100,2022CO37236
COL100,2022CO37237
COL100,2022CO37238
COL100,2022CO37239
COL100,2022CO37240
COL100,2022CO37241
COL100,2022CO37242
COL100,2022CO37243
COL100,2022CO37244
COL100,2022CO37245
COL100,2022CO37246
COL100,2022CO37247
COL100,2022CO37248
COL100,2022CO37249
COL100,2022CO37250
COL100,2022CO37251
COL100,2022CO37252
COL100,2022CO37253
COL100,2022CO37254
COL100,2022CO37255
COL100,2022CO37256
COL100,2022CO37257
COL100,2022CO37258
COL100,2022CO37259
COL100,2022CO37260
COL100,2022CO37261
COL100,2022CO37262
COL100,2022CO37263
COL100,2022CO37264
COL100,2022CO37265
COL100,2022CO37266
COL100,2022CO37267
COL100,2022CO37268
COL100,2022CO37269
COL100,2022CO37270
COL100,2022CO37271
COL100,2022CO37272
COL100,2022CO37273
COL100,2022CO37274
COL100,2022CO37275
COL100,2022CO37276
COL100,2022CO37277
COL100,2022CO37278
COL100,2022CO37279
COL100,2022CO37280
COL100,2022CO37281
COL100,2022CO37282
COL100,2022CO37283
COL100,2022CO37284
COL100,2022CO37285
COL100,2022CO37286
COL100,2022CO37287
COL100,2022CO37288
COL100,2022CO37289
