Course Code,Enrollment Number
COL759,2022CO11573
COL759,2022CO11574
COL759,2022CO11575
COL759,2022CO11576
COL759,2022CO11577
COL759,2022CO11578
COL759,2022CO11579
COL759,2022CO11580
COL759,2022CO11581
COL759,2022CO11582
COL759,2022CO11583
COL759,2022CO11584
COL759,2022CO11585
COL759,2022CO11586
COL759,2022CO11587
COL759,2022CO11588
COL759,2022CO11589
COL759,2022CO11590
COL759,2022CO11591
COL759,2022CO11592
COL759,2022CO11593
COL759,2022CO11594
COL759,2022CO11595
COL759,2022CO11596
COL759,2022CO11597
COL759,2022CO11598
COL759,2022CO11599
COL759,2022CO11600
COL759,2022CO11601
COL759,2022CO11602
COL759,2022CO11603
COL759,2022CO11604
COL759,2022CO11605
COL759,2022CO11606
COL759,2022CO11607
COL759,2022CO11608
COL759,2022CO11609
COL759,2022CO11610
COL759,2022CO11611
COL759,2022CO11612
COL759,2022CO11613
COL759,2022CO11614
COL759,2022CO11615
COL759,2022CO11616
COL759,2022CO11617
COL759,2022CO11618
COL759,2022CO11619
COL759,2022CO11620
COL759,2022CO11621
COL759,2022CO11622
COL759,2022CO11623
COL759,2022CO11624
COL759,2022CO11625
COL759,2022CO11626
COL759,2022CO11627
COL759,2022CO11628
COL759,2022CO11629
COL759,2022CO11630
COL759,2022CO11631
COL759,2022CO11632
COL759,2022CO11633
COL759,2022CO11634
COL759,2022CO11635
COL759,2022CO11636
COL759,2022CO11637
COL759,2022CO11638
COL759,2022CO11639
COL759,2022CO11640
COL759,2022CO11641
COL759,2022CO11642
COL759,2022CO11643
COL759,2022CO11644
COL759,2022CO11645
COL759,2022CO11646
COL759,2022CO11647
COL759,2022CO11648
COL759,2022CO11649
COL759,2022CO11650
COL759,2022CO11651
COL759,2022CO11652
COL759,2022CO11653
COL759,2022CO11654
COL759,2022CO11655
COL759,2022CO11656
COL759,2022CO11657
COL759,2022CO11658
COL759,2022CO11659
COL759,2022CO11660
COL759,2022CO11661
COL759,2022CO11662
COL759,2022CO11663
COL759,2022CO11664
COL759,2022CO11665
COL759,2022CO11666
COL759,2022CO11667
COL759,2022CO11668
COL759,2022CO11669
COL759,2022CO11670
COL759,2022CO11671
COL759,2022CO11672
COL759,2022CO11673
COL759,2022CO11674
COL759,2022CO11675
MTL763,2022MT11676
MTL763,2022MT11677
MTL763,2022MT11678
MTL763,2022MT11679
MTL763,2022MT11680
MTL763,2022MT11681
MTL763,2022MT11682
MTL763,2022MT11683
MTL763,2022MT11684
MTL763,2022MT11685
MTL763,2022MT11686
MTL763,2022MT11687
MTL763,2022MT11688
MTL763,2022MT11689
MTL763,2022MT11690
MTL763,2022MT11691
MTL763,2022MT11692
MTL763,2022MT11693
MTL763,2022MT11694
MTL763,2022MT11695
MTL763,2022MT11696
MTL763,2022MT11697
MTL763,2022MT11698
MTL763,2022MT11699
MTL763,2022MT11700
MTL763,2022MT11701
MTL763,2022MT11702
