Course Code,Enrollment Number
CLL110,2022CL31919
CLL110,2022CL31920
CLL110,2022CL31921
CLL110,2022CL31922
CLL110,2022CL31923
CLL110,2022CL31924
CLL110,2022CL31925
CLL110,2022CL31926
CLL110,2022CL31927
CLL110,2022CL31928
CLL110,2022CL31929
CLL110,2022CL31930
CLL110,2022CL31931
CLL110,2022CL31932
CLL110,2022CL31933
CLL110,2022CL31934
CLL110,2022CL31935
CLL110,2022CL31936
CLL110,2022CL31937
CLL110,2022CL31938
CLL110,2022CL31939
CLL110,2022CL31940
CLL110,2022CL31941
CLL110,2022CL31942
CLL110,2022CL31943
CLL110,2022CL31944
CLL110,2022CL31945
CLL110,2022CL31946
CLL110,2022CL31947
CLL110,2022CL31948
CLL110,2022CL31949
CLL110,2022CL31950
CLL110,2022CL31951
CLL110,2022CL31952
CLL110,2022CL31953
CLL110,2022CL31954
CLL110,2022CL31955
CLL110,2022CL31956
CLL110,2022CL31957
CLL110,2022CL31958
CLL110,2022CL31959
CLL110,2022CL31960
CLL110,2022CL31961
CLL110,2022CL31962
CLL110,2022CL31963
CLL110,2022CL31964
CLL110,2022CL31965
CLL110,2022CL31966
CLL110,2022CL31967
CLL110,2022CL31968
CLL110,2022CL31969
CLL110,2022CL31970
CLL110,2022CL31971
CLL110,2022CL31972
CLL110,2022CL31973
CLL110,2022CL31974
CLL110,2022CL31975
CLL110,2022CL31976
CLL110,2022CL31977
CLL110,2022CL31978
CLL110,2022CL31979
CLL110,2022CL31980
CLL110,2022CL31981
CLL110,2022CL31982
CLL110,2022CL31983
CLL110,2022CL31984
CLL110,2022CL31985
CLL110,2022CL31986
CLL110,2022CL31987
CLL110,2022CL31988
CLL110,2022CL31989
CLL110,2022CL31990
CLL110,2022CL31991
CLL110,2022CL31992
CLL110,2022CL31993
CLL110,2022CL31994
CLL110,2022CL31995
CLL110,2022CL31996
CLL110,2022CL31997
CLL110,2022CL31998
CLL110,2022CL31999
CLL110,2022CL32000
CLL110,2022CL32001
CLL110,2022CL32002
CLL110,2022CL32003
CLL110,2022CL32004
CLL110,2022CL32005
CLL110,2022CL32006
CLL110,2022CL32007
CLL110,2022CL32008
CLL110,2022CL32009
CLL110,2022CL32010
CLL110,2022CL32011
CLL110,2022CL32012
CLL110,2022CL32013
CLL110,2022CL32014
CLL110,2022CL32015
CLL110,2022CL32016
CLL110,2022CL32017
CLL110,2022CL32018
CLL110,2022CL32019
CLL110,2022CL32020
CLL110,2022CL32021
CLL110,2022CL32022
CLL110,2022CL32023
CLL110,2022CL32024
CLL110,2022CL32025
CLL110,2022CL32026
CLL110,2022CL32027
CLL110,2022CL32028
CLL110,2022CL32029
CLL110,2022CL32030
CLL110,2022CL32031
CLL110,2022CL32032
CLL110,2022CL32033
CLL110,2022CL32034
CLL110,2022CL32035
CLL110,2022CL32036
CLL110,2022CL32037
CLL110,2022CL32038
CLL110,2022CL32039
CLL110,2022CL32040
CLL110,2022CL32041
CLL110,2022CL32042
CLL110,2022CL32043
CLL110,2022CL32044
CLL110,2022CL32045
CLL110,2022CL32046
CLL110,2022CL32047
CLL110,2022CL32048
CLL110,2022CL32049
CLL110,2022CL32050
CLL110,2022CL32051
CLL110,2022CL32052
CLL110,2022CL32053
CLL110,2022CL32054
CLL110,2022CL32055
CLL110,2022CL32056
CLL110,2022CL32057
CLL110,2022CL32058
CLL110,2022CL32059
CLL110,2022CL32060
CLL110,2022CL32061
CLL110,2022CL32062
CLL110,2022CL32063
CLL110,2022CL32064
CLL110,2022CL32065
CLL110,2022CL32066
CLL110,2022CL32067
CLL110,2022CL32068
CLL110,2022CL32069
CLL110,2022CL32070
CLL110,2022CL32071
CLL110,2022CL32072
CLL110,2022CL32073
CLL110,2022CL32074
CLL110,2022CL32075
CLL110,2022CL32076
CLL110,2022CL32077
CLL110,2022CL32078
CLL110,2022CL32079
CLL110,2022CL32080
CLL110,2022CL32081
CLL110,2022CL32082
CLL110,2022CL32083
CLL110,2022CL32084
CLL110,2022CL32085
CLL110,2022CL32086
CLL110,2022CL32087
CLL110,2022CL32088
CLL110,2022CL32089
CLL110,2022CL32090
CLL110,2022CL32091
CLL110,2022CL32092
CLL110,2022CL32093
CLL110,2022CL32094
CLL110,2022CL32095
CLL110,2022CL32096
CLL110,2022CL32097
CLL110,2022CL32098
CLL110,2022CL32099
CLL110,2022CL32100
CLL110,2022CL32101
CLL110,2022CL32102
CLL110,2022CL32103
CLL110,2022CL32104
CLL110,2022CL32105
CLL110,2022CL32106
CLL110,2022CL32107
CLL110,2022CL32108
CLL110,2022CL32109
CLL110,2022CL32110
CLL110,2022CL32111
CLL110,2022CL32112
CLL110,2022CL32113
CLL110,2022CL32114
CLL110,2022CL32115
CLL110,2022CL32116
CLL110,2022CL32117
CLL110,2022CL32118
CLL110,2022CL32119
CLL110,2022CL32120
CLL110,2022CL32121
CLL110,2022CL32122
CLL110,2022CL32123
CLL110,2022CL32124
CLL110,2022CL32125
CLL110,2022CL32126
CLL110,2022CL32127
CLL110,2022CL32128
CLL110,2022CL32129
CLL110,2022CL32130
CLL110,2022CL32131
CLL110,2022CL32132
CLL110,2022CL32133
CLL110,2022CL32134
CLL110,2022CL32135
CLL110,2022CL32136
CLL110,2022CL32137
CLL110,2022CL32138
CLL110,2022CL32139
CLL110,2022CL32140
CLL110,2022CL32141
CLL110,2022CL32142
CLL110,2022CL32143
CLL110,2022CL32144
CLL110,2022CL32145
CLL110,2022CL32146
CLL110,2022CL32147
CLL110,2022CL32148
CLL110,2022CL32149
CLL110,2022CL32150
CLL110,2022CL32151
CLL110,2022CL32152
CLL110,2022CL32153
CLL110,2022CL32154
CLL110,2022CL32155
CLL110,2022CL32156
CLL110,2022CL32157
CLL110,2022CL32158
CLL110,2022CL32159
CLL110,2022CL32160
CLL110,2022CL32161
CLL110,2022CL32162
CLL110,2022CL32163
CLL110,2022CL32164
CLL110,2022CL32165
ELL202,2022EL32166
ELL202,2022EL32167
ELL202,2022EL32168
ELL202,2022EL32169
ELL202,2022EL32170
ELL202,2022EL32171
