Course Code,Enrollment Number
COL106,2022CO15400
COL106,2022CO15401
COL106,2022CO15402
COL106,2022CO15403
COL106,2022CO15404
COL106,2022CO15405
COL106,2022CO15406
COL106,2022CO15407
COL106,2022CO15408
COL106,2022CO15409
COL106,2022CO15410
COL106,2022CO15411
COL106,2022CO15412
COL106,2022CO15413
COL106,2022CO15414
COL106,2022CO15415
COL106,2022CO15416
COL106,2022CO15417
COL106,2022CO15418
COL106,2022CO15419
COL106,2022CO15420
COL106,2022CO15421
COL106,2022CO15422
COL106,2022CO15423
COL106,2022CO15424
COL106,2022CO15425
COL106,2022CO15426
COL106,2022CO15427
COL106,2022CO15428
COL106,2022CO15429
COL106,2022CO15430
COL106,2022CO15431
COL106,2022CO15432
COL106,2022CO15433
COL106,2022CO15434
COL106,2022CO15435
COL106,2022CO15436
COL106,2022CO15437
COL106,2022CO15438
COL106,2022CO15439
COL106,2022CO15440
COL106,2022CO15441
COL106,2022CO15442
COL106,2022CO15443
COL106,2022CO15444
COL106,2022CO15445
COL106,2022CO15446
COL106,2022CO15447
COL106,2022CO15448
COL106,2022CO15449
COL106,2022CO15450
COL106,2022CO15451
COL106,2022CO15452
COL106,2022CO15453
COL106,2022CO15454
COL106,2022CO15455
COL106,2022CO15456
COL106,2022CO15457
COL106,2022CO15458
COL106,2022CO15459
COL106,2022CO15460
COL106,2022CO15461
COL106,2022CO15462
COL106,2022CO15463
COL106,2022CO15464
COL106,2022CO15465
COL106,2022CO15466
COL106,2022CO15467
COL106,2022CO15468
COL106,2022CO15469
COL106,2022CO15470
COL106,2022CO15471
COL106,2022CO15472
COL106,2022CO15473
COL106,2022CO15474
COL106,2022CO15475
COL106,2022CO15476
COL106,2022CO15477
COL106,2022CO15478
COL106,2022CO15479
COL106,2022CO15480
COL106,2022CO15481
COL106,2022CO15482
COL106,2022CO15483
COL106,2022CO15484
COL106,2022CO15485
COL106,2022CO15486
COL106,2022CO15487
COL106,2022CO15488
COL106,2022CO15489
COL106,2022CO15490
COL106,2022CO15491
COL106,2022CO15492
COL106,2022CO15493
COL106,2022CO15494
COL106,2022CO15495
COL106,2022CO15496
COL106,2022CO15497
COL106,2022CO15498
COL106,2022CO15499
COL106,2022CO15500
COL106,2022CO15501
COL106,2022CO15502
COL106,2022CO15503
COL106,2022CO15504
COL106,2022CO15505
COL106,2022CO15506
COL106,2022CO15507
COL106,2022CO15508
COL106,2022CO15509
COL106,2022CO15510
COL106,2022CO15511
COL106,2022CO15512
COL106,2022CO15513
COL106,2022CO15514
COL106,2022CO15515
COL106,2022CO15516
COL106,2022CO15517
COL106,2022CO15518
COL106,2022CO15519
COL106,2022CO15520
COL106,2022CO15521
COL106,2022CO15522
COL106,2022CO15523
COL106,2022CO15524
COL106,2022CO15525
COL106,2022CO15526
COL106,2022CO15527
COL106,2022CO15528
COL106,2022CO15529
COL106,2022CO15530
COL106,2022CO15531
COL106,2022CO15532
COL106,2022CO15533
COL106,2022CO15534
COL106,2022CO15535
COL106,2022CO15536
COL106,2022CO15537
COL106,2022CO15538
COL106,2022CO15539
COL106,2022CO15540
COL106,2022CO15541
COL106,2022CO15542
COL106,2022CO15543
COL106,2022CO15544
COL106,2022CO15545
COL106,2022CO15546
COL106,2022CO15547
COL106,2022CO15548
COL106,2022CO15549
COL106,2022CO15550
COL106,2022CO15551
COL106,2022CO15552
COL106,2022CO15553
COL106,2022CO15554
COL106,2022CO15555
COL106,2022CO15556
COL106,2022CO15557
COL106,2022CO15558
COL106,2022CO15559
COL106,2022CO15560
COL106,2022CO15561
COL106,2022CO15562
COL106,2022CO15563
COL106,2022CO15564
COL106,2022CO15565
COL106,2022CO15566
COL106,2022CO15567
COL106,2022CO15568
COL106,2022CO15569
COL106,2022CO15570
COL106,2022CO15571
COL106,2022CO15572
COL106,2022CO15573
COL106,2022CO15574
COL106,2022CO15575
COL106,2022CO15576
COL106,2022CO15577
COL106,2022CO15578
COL106,2022CO15579
COL106,2022CO15580
COL106,2022CO15581
COL106,2022CO15582
COL106,2022CO15583
COL106,2022CO15584
COL106,2022CO15585
COL106,2022CO15586
COL106,2022CO15587
COL106,2022CO15588
COL106,2022CO15589
COL106,2022CO15590
COL106,2022CO15591
COL106,2022CO15592
COL106,2022CO15593
COL106,2022CO15594
COL106,2022CO15595
COL106,2022CO15596
COL106,2022CO15597
COL106,2022CO15598
COL106,2022CO15599
COL106,2022CO15600
COL106,2022CO15601
COL106,2022CO15602
COL106,2022CO15603
COL106,2022CO15604
COL106,2022CO15605
COL106,2022CO15606
COL106,2022CO15607
COL106,2022CO15608
COL106,2022CO15609
COL106,2022CO15610
COL106,2022CO15611
COL106,2022CO15612
COL106,2022CO15613
COL106,2022CO15614
COL106,2022CO15615
COL106,2022CO15616
COL106,2022CO15617
COL106,2022CO15618
COL106,2022CO15619
COL106,2022CO15620
COL106,2022CO15621
COL106,2022CO15622
COL106,2022CO15623
COL106,2022CO15624
COL106,2022CO15625
COL106,2022CO15626
COL106,2022CO15627
COL106,2022CO15628
COL106,2022CO15629
COL106,2022CO15630
COL106,2022CO15631
COL106,2022CO15632
COL106,2022CO15633
COL106,2022CO15634
COL106,2022CO15635
COL106,2022CO15636
COL106,2022CO15637
COL106,2022CO15638
COL106,2022CO15639
COL106,2022CO15640
COL106,2022CO15641
COL106,2022CO15642
COL106,2022CO15643
COL106,2022CO15644
COL106,2022CO15645
COL106,2022CO15646
COL106,2022CO15647
COL106,2022CO15648
COL106,2022CO15649
COL106,2022CO15650
COL106,2022CO15651
COL106,2022CO15652
COL106,2022CO15653
COL106,2022CO15654
COL106,2022CO15655
COL106,2022CO15656
COL106,2022CO15657
COL106,2022CO15658
COL106,2022CO15659
COL106,2022CO15660
COL106,2022CO15661
COL106,2022CO15662
COL106,2022CO15663
COL106,2022CO15664
COL106,2022CO15665
COL106,2022CO15666
COL106,2022CO15667
COL106,2022CO15668
COL106,2022CO15669
COL106,2022CO15670
COL106,2022CO15671
COL106,2022CO15672
COL106,2022CO15673
COL106,2022CO15674
COL106,2022CO15675
COL106,2022CO15676
COL106,2022CO15677
COL106,2022CO15678
COL106,2022CO15679
COL106,2022CO15680
COL106,2022CO15681
COL106,2022CO15682
COL106,2022CO15683
COL106,2022CO15684
COL106,2022CO15685
COL106,2022CO15686
COL106,2022CO15687
COL106,2022CO15688
COL106,2022CO15689
COL106,2022CO15690
COL106,2022CO15691
COL106,2022CO15692
COL106,2022CO15693
COL106,2022CO15694
COL106,2022CO15695
COL106,2022CO15696
COL106,2022CO15697
COL106,2022CO15698
COL106,2022CO15699
COL106,2022CO15700
