Course Code,Enrollment Number
MSL885,2022MS10001
MSL885,2022MS10002
MSL885,2022MS10003
MSL885,2022MS10004
MSL885,2022MS10005
MSL885,2022MS10006
MSL885,2022MS10007
MSL885,2022MS10008
MSL885,2022MS10009
MSL885,2022MS10010
MSL885,2022MS10011
MSL885,2022MS10012
MSL885,2022MS10013
MSL885,2022MS10014
MSL885,2022MS10015
MSL885,2022MS10016
MSL885,2022MS10017
MSL885,2022MS10018
MSL885,2022MS10019
MSL885,2022MS10020
MSL885,2022MS10021
MSL885,2022MS10022
MSL885,2022MS10023
MSL885,2022MS10024
MSL885,2022MS10025
MSL885,2022MS10026
MSL885,2022MS10027
MSL885,2022MS10028
MSL885,2022MS10029
MSL885,2022MS10030
MSL885,2022MS10031
MSL885,2022MS10032
MSL885,2022MS10033
MSL885,2022MS10034
MSL885,2022MS10035
MSL885,2022MS10036
MSL885,2022MS10037
MSL885,2022MS10038
MSL885,2022MS10039
MSL885,2022MS10040
MSL885,2022MS10041
MSL885,2022MS10042
MSL885,2022MS10043
MSL885,2022MS10044
MSL885,2022MS10045
MSL885,2022MS10046
MSL885,2022MS10047
MSL885,2022MS10048
MSL831,2022MS10049
MSL831,2022MS10050
MSL831,2022MS10051
MSL831,2022MS10052
MSL831,2022MS10053
MSL831,2022MS10054
MSL831,2022MS10055
MSL831,2022MS10056
MSL831,2022MS10057
MSL831,2022MS10058
MSL831,2022MS10059
MSL831,2022MS10060
MSL831,2022MS10061
MSL831,2022MS10062
MSL831,2022MS10063
MSL831,2022MS10064
MSL831,2022MS10065
MSL831,2022MS10066
MSL831,2022MS10067
MDL803,2022MD10068
MDL803,2022MD10069
MDL803,2022MD10070
MDL803,2022MD10071
MDL803,2022MD10072
MDL803,2022MD10073
MDL803,2022MD10074
MDL803,2022MD10075
MDL803,2022MD10076
MDL803,2022MD10077
MDL803,2022MD10078
MDL803,2022MD10079
MDL803,2022MD10080
MSL848,2022MS10081
MSL848,2022MS10082
MSL848,2022MS10083
MSL848,2022MS10084
MSL848,2022MS10085
MSL848,2022MS10086
MSL848,2022MS10087
MSL848,2022MS10088
MSL848,2022MS10089
MSL848,2022MS10090
