Course Code,Enrollment Number
AML794,2022AM15124
AML794,2022AM15125
AML794,2022AM15126
AML794,2022AM15127
AML794,2022AM15128
AML794,2022AM15129
AML794,2022AM15130
AML794,2022AM15131
AML794,2022AM15132
AML794,2022AM15133
AML794,2022AM15134
AML794,2022AM15135
AML794,2022AM15136
AML794,2022AM15137
AML794,2022AM15138
AML794,2022AM15139
AML794,2022AM15140
AML794,2022AM15141
AML794,2022AM15142
AML794,2022AM15143
AML794,2022AM15144
AML794,2022AM15145
AML794,2022AM15146
AML794,2022AM15147
AML794,2022AM15148
AML794,2022AM15149
AML794,2022AM15150
AML794,2022AM15151
AML794,2022AM15152
AML794,2022AM15153
AML794,2022AM15154
AML794,2022AM15155
AML794,2022AM15156
AML794,2022AM15157
AML794,2022AM15158
AML794,2022AM15159
AML794,2022AM15160
AML794,2022AM15161
AML791,2022AM15162
AML791,2022AM15163
AML791,2022AM15164
AML791,2022AM15165
AML791,2022AM15166
AML791,2022AM15167
AML791,2022AM15168
AML791,2022AM15169
AML791,2022AM15170
AML791,2022AM15171
AML791,2022AM15172
AML791,2022AM15173
AML791,2022AM15174
AML791,2022AM15175
AML791,2022AM15176
AML791,2022AM15177
AML791,2022AM15178
AML791,2022AM15179
AML791,2022AM15180
AML791,2022AM15181
AML791,2022AM15182
AML791,2022AM15183
AML791,2022AM15184
AML791,2022AM15185
AML791,2022AM15186
AML791,2022AM15187
AML791,2022AM15188
AML791,2022AM15189
AML791,2022AM15190
AML791,2022AM15191
AML791,2022AM15192
AML791,2022AM15193
AML791,2022AM15194
AML791,2022AM15195
AML791,2022AM15196
AML791,2022AM15197
ELL710,2022EL15198
ELL710,2022EL15199
ELL710,2022EL15200
ELL710,2022EL15201
ELL710,2022EL15202
ELL710,2022EL15203
ELL710,2022EL15204
ELL710,2022EL15205
ELL710,2022EL15206
ELL710,2022EL15207
ELL710,2022EL15208
ELL710,2022EL15209
ELL710,2022EL15210
ELL710,2022EL15211
ELL710,2022EL15212
ELL710,2022EL15213
ELL710,2022EL15214
ELL710,2022EL15215
ELL710,2022EL15216
ELL710,2022EL15217
ELL710,2022EL15218
ELL710,2022EL15219
ELL710,2022EL15220
ELL710,2022EL15221
ELL710,2022EL15222
ELL710,2022EL15223
ELL710,2022EL15224
ELL710,2022EL15225
ELL710,2022EL15226
ELL710,2022EL15227
ELL710,2022EL15228
ELL710,2022EL15229
JRL302,2022JR15230
JRL302,2022JR15231
JRL302,2022JR15232
JRL302,2022JR15233
JRL302,2022JR15234
JRL302,2022JR15235
JRL302,2022JR15236
JRL302,2022JR15237
JRL302,2022JR15238
JRL302,2022JR15239
JRL302,2022JR15240
JRL302,2022JR15241
JRL302,2022JR15242
JRL302,2022JR15243
AML793,2022AM15244
AML793,2022AM15245
AML793,2022AM15246
AML793,2022AM15247
AML793,2022AM15248
AML793,2022AM15249
AML793,2022AM15250
AML793,2022AM15251
AML793,2022AM15252
AML793,2022AM15253
AML793,2022AM15254
AML793,2022AM15255
AML793,2022AM15256
CRL621,2022CR15257
CRL621,2022CR15258
CRL621,2022CR15259
CRL621,2022CR15260
CRL621,2022CR15261
CRL621,2022CR15262
CRL621,2022CR15263
CRL621,2022CR15264
CRL621,2022CR15265
CRL621,2022CR15266
COL867,2022CO15267
COL867,2022CO15268
COL867,2022CO15269
COL867,2022CO15270
COL867,2022CO15271
COL867,2022CO15272
COL867,2022CO15273
COL867,2022CO15274
COL867,2022CO15275
COL867,2022CO15276
OPL704,2022OP15277
OPL704,2022OP15278
OPL704,2022OP15279
OPL704,2022OP15280
OPL704,2022OP15281
OPL704,2022OP15282
OPL704,2022OP15283
OPL704,2022OP15284
OPL704,2022OP15285
OPL704,2022OP15286
ELL823,2022EL15287
ELL823,2022EL15288
ELL823,2022EL15289
ELL823,2022EL15290
ELL823,2022EL15291
ELL823,2022EL15292
ELL823,2022EL15293
ELL823,2022EL15294
ELL823,2022EL15295
ELL896,2022EL15296
ELL896,2022EL15297
ELL896,2022EL15298
ELL896,2022EL15299
ELL896,2022EL15300
ELL896,2022EL15301
ELL896,2022EL15302
ELL896,2022EL15303
ELL896,2022EL15304
CRL733,2022CR15305
CRL733,2022CR15306
CRL733,2022CR15307
CRL733,2022CR15308
CRL733,2022CR15309
CRL733,2022CR15310
CRL733,2022CR15311
CRL733,2022CR15312
COL876,2022CO15313
COL876,2022CO15314
COL876,2022CO15315
COL876,2022CO15316
COL876,2022CO15317
COL876,2022CO15318
COL876,2022CO15319
COL876,2022CO15320
HSL713,2022HS15321
HSL713,2022HS15322
HSL713,2022HS15323
HSL713,2022HS15324
HSL713,2022HS15325
HSL713,2022HS15326
HSL713,2022HS15327
HSL713,2022HS15328
PYL711,2022PY15329
PYL711,2022PY15330
PYL711,2022PY15331
PYL711,2022PY15332
PYL711,2022PY15333
PYL711,2022PY15334
PYL711,2022PY15335
PYL711,2022PY15336
COL731,2022CO15337
COL731,2022CO15338
COL731,2022CO15339
COL731,2022CO15340
COL731,2022CO15341
COL731,2022CO15342
COL731,2022CO15343
DDL753,2022DD15344
DDL753,2022DD15345
DDL753,2022DD15346
DDL753,2022DD15347
DDL753,2022DD15348
DDL753,2022DD15349
DDL753,2022DD15350
ELL881,2022EL15351
ELL881,2022EL15352
ELL881,2022EL15353
ELL881,2022EL15354
ELL881,2022EL15355
ELL881,2022EL15356
ELL881,2022EL15357
HSL820,2022HS15358
HSL820,2022HS15359
HSL820,2022HS15360
HSL820,2022HS15361
HSL820,2022HS15362
HSL820,2022HS15363
HSL820,2022HS15364
HSL876,2022HS15365
HSL876,2022HS15366
HSL876,2022HS15367
HSL876,2022HS15368
HSL876,2022HS15369
HSL876,2022HS15370
HSL876,2022HS15371
APL742,2022AP15372
APL742,2022AP15373
APL742,2022AP15374
APL742,2022AP15375
APL742,2022AP15376
APL742,2022AP15377
DSL742,2022DS15378
DSL742,2022DS15379
DSL742,2022DS15380
DSL742,2022DS15381
DSL742,2022DS15382
DSL742,2022DS15383
ELL746,2022EL15384
ELL746,2022EL15385
ELL746,2022EL15386
ELL746,2022EL15387
ELL746,2022EL15388
ELL746,2022EL15389
DSL814,2022DS15390
DSL814,2022DS15391
DSL814,2022DS15392
DSL814,2022DS15393
DSL814,2022DS15394
ELL821,2022EL15395
ELL821,2022EL15396
ELL821,2022EL15397
ELL821,2022EL15398
ELL821,2022EL15399
