Enrollment Number,Day,Shift,Course,Slot,LHC NO.,Seat-Number
2022HU29846,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D1
2022HU29847,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G45
2022HU29848,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F9
2022HU29849,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I29
2022HU29850,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H29
2022HU29851,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,D5
2022HU29852,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A25
2022HU29853,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C25
2022HU29854,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G17
2022HU29855,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F5
2022HU29856,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B21
2022HU29857,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I33
2022HU29858,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G29
2022HU29859,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,F21
2022HU29860,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F25
2022HU29861,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G1
2022HU29862,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I21
2022HU29863,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E33
2022HU29864,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J9
2022HU29865,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H17
2022HU29866,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J25
2022HU29867,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D21
2022HU29868,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D5
2022HU29869,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,A33
2022HU29870,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G9
2022HU29871,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C21
2022HU29872,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L29
2022HU29873,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J17
2022HU29874,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L13
2022HU29875,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A21
2022HU29876,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G21
2022HU29877,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I25
2022HU29878,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G5
2022HU29879,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L5
2022HU29880,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K45
2022HU29881,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I1
2022HU29882,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B29
2022HU29883,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I1
2022HU29884,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,J9
2022HU29885,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K21
2022HU29886,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I49
2022HU29887,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E1
2022HU29888,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E9
2022HU29889,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B5
2022HU29890,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,F33
2022HU29891,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E13
2022HU29892,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G33
2022HU29893,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,H13
2022HU29894,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J33
2022HU29895,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,B9
2022HU29896,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L21
2022HU29897,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,E25
2022HU29898,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,I9
2022HU29899,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H21
2022HU29900,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,I17
2022HU29901,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,C1
2022HU29902,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,H25
2022HU29903,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,D33
2022HU29904,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E5
2022HU29905,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,G9
2022HU29906,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K17
2022HU29907,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G49
2022HU29908,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,K49
2022HU29909,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,B25
2022HU29910,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L25
2022HU29911,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,L49
2022HU29912,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,G25
2022HU29913,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh325,J13
2022HU29914,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,A25
2022HU29915,Day 1,8:00AM-10:00AM,HUL213,D1S1,lh111,E21
